Session ID,Title,Type,Day/Date,Time,Room,Topic,Keywords,Brief,Link
2493,Claim Your Free Self-Paced Developer Training,DLI Self-Paced Training,"Monday, March 16",8:00 a.m. - 5:00 p.m. PDT,Signia - Paseo Ballroom (L2),,,Maximize your GTC experience and unlock up to $90 in free developer training!  Visit the technical training area on the 2nd floor of the Signia Hotel to explore how NVIDIA can help you and your team level up your Al and accelerated computing skills with hands-on technical training.  Stop by the P...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/
2493,Claim Your Free Self-Paced Developer Training,DLI Self-Paced Training,"Tuesday, March 17",8:00 a.m. - 5:00 p.m. PDT,Signia - Paseo Ballroom (L2),,,Maximize your GTC experience and unlock up to $90 in free developer training!  Visit the technical training area on the 2nd floor of the Signia Hotel to explore how NVIDIA can help you and your team level up your Al and accelerated computing skills with hands-on technical training.  Stop by the P...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/
2493,Claim Your Free Self-Paced Developer Training,DLI Self-Paced Training,"Wednesday, March 18",8:00 a.m. - 5:00 p.m. PDT,Signia - Paseo Ballroom (L2),,,Maximize your GTC experience and unlock up to $90 in free developer training!  Visit the technical training area on the 2nd floor of the Signia Hotel to explore how NVIDIA can help you and your team level up your Al and accelerated computing skills with hands-on technical training.  Stop by the P...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/
2493,Claim Your Free Self-Paced Developer Training,DLI Self-Paced Training,"Thursday, March 19",8:00 a.m. - 5:00 p.m. PDT,Signia - Paseo Ballroom (L2),,,Maximize your GTC experience and unlock up to $90 in free developer training!  Visit the technical training area on the 2nd floor of the Signia Hotel to explore how NVIDIA can help you and your team level up your Al and accelerated computing skills with hands-on technical training.  Stop by the P...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/
2494,Claim Your Free Self-Paced AI Infrastructure Training,DLI Self-Paced Training,"Monday, March 16",8:00 a.m. - 5:00 p.m. PDT,Signia Paseo Ballroom (2nd Floor),,,Get the most out of your GTC experience and claim up to $200 in free AI infrastructure training!  Visit the Technical Training Area on the 2nd floor of the Signia Hotel to see how NVIDIA can help you and your team boost AI infrastructure skills.  Join us in the Paseo Room to:  Connect with NVIDIA...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2494/
2494,Claim Your Free Self-Paced AI Infrastructure Training,DLI Self-Paced Training,"Tuesday, March 17",8:00 a.m. - 5:00 p.m. PDT,Signia Paseo Ballroom (2nd Floor),,,Get the most out of your GTC experience and claim up to $200 in free AI infrastructure training!  Visit the Technical Training Area on the 2nd floor of the Signia Hotel to see how NVIDIA can help you and your team boost AI infrastructure skills.  Join us in the Paseo Room to:  Connect with NVIDIA...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2494/
2494,Claim Your Free Self-Paced AI Infrastructure Training,DLI Self-Paced Training,"Wednesday, March 18",8:00 a.m. - 5:00 p.m. PDT,Signia Paseo Ballroom (2nd Floor),,,Get the most out of your GTC experience and claim up to $200 in free AI infrastructure training!  Visit the Technical Training Area on the 2nd floor of the Signia Hotel to see how NVIDIA can help you and your team boost AI infrastructure skills.  Join us in the Paseo Room to:  Connect with NVIDIA...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2494/
2494,Claim Your Free Self-Paced AI Infrastructure Training,DLI Self-Paced Training,"Thursday, March 19",8:00 a.m. - 5:00 p.m. PDT,Signia Paseo Ballroom (2nd Floor),,,Get the most out of your GTC experience and claim up to $200 in free AI infrastructure training!  Visit the Technical Training Area on the 2nd floor of the Signia Hotel to see how NVIDIA can help you and your team boost AI infrastructure skills.  Join us in the Paseo Room to:  Connect with NVIDIA...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2494/
S81595,GTC 2026 Keynote,Keynote,"Monday, March 16",11:00 a.m. - 1:00 p.m. PDT,SAP Center,,,"In this keynote, NVIDIA founder and CEO Jensen Huang looks ahead to the future of accelerated computing and AI, and how they will shape the next era of computing across every industry.",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81595/
EX82045,"Liquid-Cooled AI Server Platforms for Next-Generation Performance (Presented by ASRock Rack, Inc.)",Sponsored Expo Theater,"Monday, March 16",1:40 p.m. - 1:55 p.m. PDT,SJCC Hall 1 Theater (L2),,,Explore ASRock Rack AI server solutions from edge to cloud and discover how ASRock Rack adopts liquid-cooling approaches in next-generation AI platforms to unlock higher performance and scalability. Learn how these liquid-cooled server designs are validated in ASRock Rack’s Liquid Cooling Lab to ...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82045/
EX82205,Scale AI Data Pipelines With High-Capacity JBODs and NVIDIA BlueField-4 DPUs (Presented by Seagate Technology),Sponsored Expo Theater,"Monday, March 16",1:40 p.m. - 1:55 p.m. PDT,SJCC Grand Ballroom Theater (L2),,,"Learn how to move data-intensive applications from proof of concept (PoC) to production scale using a reference architecture that pairs high-capacity JBOD storage with NVIDIA BlueField 4 DPUs to accelerate data access, reduce CPU overhead, and improve end-to-end efficiency. This session presents ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82205/
DLIT81484,How to Run AI-Powered Computer-Aided Engineering Simulations,Training Lab,"Monday, March 16",2:00 p.m. - 3:45 p.m. PDT,Signia - Gold Ballroom (L2),,,"In this lab, we explore how to build AI surrogate models for crash simulations, one of the most computationally intensive tasks in computer aided-engineering (CAE). Learn how modern AI architectures can reproduce high-fidelity physics simulations at a fraction of the cost, enabling faster design ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81484/
DLIT81800,Assembling Industrial Digital Twins with OpenUSD and NVIDIA Omniverse Libraries,Training Lab,"Monday, March 16",2:00 p.m. - 3:45 p.m. PDT,Signia - Regency II Ballroom (L2),,,"In this hands-on lab, participants will explore how to build industrial  digital twins from manufacturing facilities to AI factories, using OpenUSD and NVIDIA Omniverse libraries, drawing on real-world collaboration with industry leaders. The session walks through an end-to-end workflow, from CAD...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81800/
DLIT81879,Create Vision AI Applications With Generative AI Coding Agents,Training Lab,"Monday, March 16",2:00 p.m. - 3:45 p.m. PDT,Signia - Regency I Ballroom (L2),,,"Computer vision is a cornerstone of the generative AI revolution, providing the essential visual metadata required by vision language models (VLMs) to extract actionable insights. In this two-hour instructor-led workshop, you will learn how to GPU-accelerate your video analytics workflow by combi...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81879/
DLIT81936,"Fine-Tune a Telco Reasoning Model: A Guide to Synthetic Data, Tool Calling, and Evaluation",Training Lab,"Monday, March 16",2:00 p.m. - 3:45 p.m. PDT,Signia - Crystal Ballroom (L2),,,"Network operation centers (NoC) are the central nervous system of telecommunications, but they are often overwhelmed by ""alarm storms."" In a traditional setup, engineers manually validate alarms, swivel between multiple dashboards, check topologies, and perform root-cause analysis. This manual pr...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81936/
EX82039,"Synergy at Scale: Unify Compute, Power and Cooling (Presented by COMPAL)",Sponsored Expo Theater,"Monday, March 16",2:00 p.m. - 2:15 p.m. PDT,SJCC Hall 1 Theater (L2),,,"High-density AI workloads demand a paradigm shift, from siloed infrastructure to integrated ecosystems. This presentation reveals how a combined entity is leveraging its expanded scale and expertise to deliver the first truly total solution for next-gen data centers. We will explore how unifying ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82039/
EX82286,The Agentic AI Data Factory: Why Agents Need a GPU-Native Data Platform to Create Real Value (Presented by Capgemini),Sponsored Expo Theater,"Monday, March 16",2:00 p.m. - 2:15 p.m. PDT,SJCC Grand Ballroom Theater (L2),,,"Agentic AI is evolving fast—but most organizations can’t fully capitalize on it, because their data foundations weren’t built for real‑time, AI‑driven decision-making.  In this session, we introduce InsightGrid—a GPU‑accelerated data factory built on NVIDIA technologies that unifies all enterpris...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82286/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Monday, March 16",2:00 p.m. - 3:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Monday, March 16",3:00 p.m. - 4:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Tuesday, March 17",9:00 a.m. - 10:00 a.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Tuesday, March 17",10:00 a.m. - 11:00 a.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Tuesday, March 17",4:00 p.m. - 5:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Tuesday, March 17",5:00 p.m. - 6:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Wednesday, March 18",11:00 a.m. - 12:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Wednesday, March 18",1:00 p.m. - 2:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Wednesday, March 18",2:00 p.m. - 3:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Wednesday, March 18",3:00 p.m. - 4:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Thursday, March 19",8:00 a.m. - 9:00 a.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Thursday, March 19",9:00 a.m. - 10:00 a.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Thursday, March 19",10:00 a.m. - 11:00 a.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
C82415,Get NVIDIA-Certified at GTC for Free: Associate Certification,Certification,"Thursday, March 19",1:00 p.m. - 2:00 p.m. PDT,Signia - Valley (L2),,,Register separately to book an exam slot and take your chosen exam onsite.   Certiverse - Exam Registration Link  Maximize your GTC experience by earning an industry-recognized Associate NVIDIA certification at no additional cost. Conference attendees can register to take an Associate-level certi...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c82415/
EX82085,Advance AI Data Center Infrastructure Design and Construction to Accommodate GW Scale (Presented by EdgeConnex),Sponsored Expo Theater,"Monday, March 16",2:20 p.m. - 2:35 p.m. PDT,SJCC Grand Ballroom Theater (L2),,,"Today’s data center industry is evolving faster than ever, with record demand for gigawatt (GW)-scale designs now paired with the accelerated delivery intervals needed to meet today’s ever-changing technology demands. This race to build large-scale data center infrastructure has fundamentally shi...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82085/
EX82046,"Practical Applications of NVIDIA 3 Computers in Vision, Robotics, and Edge (Presented by EDOM Technology)",Sponsored Expo Theater,"Monday, March 16",2:40 p.m. - 2:55 p.m. PDT,SJCC Grand Ballroom Theater (L2),,,"This session explores how NVIDIA 3 Computers—Train, Simulate, and Deploy—enable enterprises to turn AI models into real-world applications across computer vision, robotics, and edge AI. Learn how this end-to-end architecture accelerates AI deployment, reduces risk, and helps organizations scale A...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82046/
EX82253,Supercharging Postgres for Agentic Analytics with Rapids Accelerator and Apache Iceberg (Presented by EDB) ,Sponsored Expo Theater,"Monday, March 16",2:40 p.m. - 2:55 p.m. PDT,SJCC Hall 1 Theater (L2),,,"As data volumes increase, the primary bottleneck for high-performance AI agents will shift from the model to the data. This increases the importance of the underlying data engine’s ability to process massive enterprise datasets in real time. This scaling problem is further amplified by the desire...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82253/
CWES81440,Leverage Acceleration for AI and HPC in Algorithmic Trading,Connect with the Experts,"Monday, March 16",3:00 p.m. - 3:50 p.m. PDT,Connect With the Experts Pod D (L2),,,"Join this interactive session with NVIDIA experts to discover how the convergence of artificial intelligence and high performance computing (HPC) is reshaping algorithmic trading. As trading strategies grow in complexity, the need for high-throughput processing and advanced modeling capabilities ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81440/
S81561,Scaling Out and Across: Networking Innovations for Giga-Scale AI Systems,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC 230A (L2),,,"As AI factories grow to hundreds of thousands, and soon millions, of interconnected GPUs, the network has become the defining architecture of large-scale AI. Achieving uncompromised performance requires fabrics that not only scale up and out within a single data center, but scale across multiple ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81561/
S81564,AI-First Design: Build Smarter From Day Zero Through Every Funding Stage,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC 211AC (L2),,,"The decisions AI-first companies make on Day Zero will radically shift based on initial resources. Does a $5 million seed round change the fundamental AI strategy compared to a bootstrapped $0 start? Absolutely. This session explores four distinct Day Zero scenarios, each representing a different...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81564/
S81633,Scale Sports Intelligence and Insight With Foundational Models,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,Marriott - Ballroom Salon IV (L2),,,Imagine that you could generate the world’s most in-depth dataset for sports using the same video you see on your TV screen. In this presentation we’ll show you how we combine computer vision and our own proprietary multimodal foundation model that takes away the need for in-venue hardware and pr...,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81633/
S81645,From Concept to Production: Humanoid Robotics at Scale,Panel Discussion,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,San Jose Civic,,,"Humanoid robots are evolving from prototypes to production-ready systems, powered by breakthroughs in reasoning AI, large-scale simulation, and real-time edge computing. But to get there, the industry must bridge the gap between digital intelligence and physical reality. Hear from luminaries at t...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81645/
S81715,Turning Models Into Engines: The AI Factory Era,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC 212BD (L2),,,"Step inside Mistral’s journey to industrial-scale AI as we share lessons learned and the principles guiding our approach in creating Mistral Compute. Built on four key pillars—open-source foundations, security by design, sustainability at scale, and digital sovereignty—we’ll share how our approac...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81715/
S81717,Big Compute Powering the Energy Value Chain,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC 211BD (L2),,,"Herlinde Mannaerts-Drew, SVP oil and gas technology, will discuss how bp is working with NVIDIA to help enhance seismic imaging and reservoir modelling to enable faster exploration and reduce uncertainty.",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81717/
S81769,The Era of GPU Data Processing: From SQL to Search and Back Again,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC 212AC (L2),,,"This session delivers a technical state of the union on GPU-accelerated data processing across SQL/DataFrames, vector search, ML, and decision optimization. Learn how GPU-native engines enable interactive analytics on massive lakehouse-scale datasets, real-time semantic and vector search over bil...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81769/
S81779,From Research to Production: How Alpamayo Accelerates Autonomous Vehicle Development,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,Hyatt Place Salon II & III (L1),,,"Discover the latest advancements in end-to-end autonomous driving as the industry accelerates toward scalable, Level 4 AI-driven systems. This session explores how NVIDIA’s Alpamayo—particularly reasoning vision-language-action models (VLA)—enable vehicles to interpret, reason about, and navigate...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81779/
S81789,Open Source AI Shaping the Next Era of Intelligent Digital Workers,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC LL20CD (LL),,,"Open source AI is redefining how we build and scale intelligence. In this session, we explore how AI factories unlock a new generation of digital workers who learn continuously, collaborate with humans, and drive breakthroughs across every industry.",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81789/
S81804,Integrating AI and Quantum Computing to Accelerate the Future of Supercomputing,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC LL21CD (LL),,,"The path to fault-tolerant quantum computing is an AI and supercomputing challenge. This talk outlines a vision to accelerate scientific discovery for everyone, everywhere, through the complete convergence of AI with quantum hardware and systems. We will present the blueprint for a collaborative,...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81804/
S81806,"How Open Models, Agents, and Physical AI Are Fueling a Flywheel of Healthcare Innovation",Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC LL20AB (LL),,,"Healthcare is entering a once-in-a-generation leap as AI, accelerated computing, and robotics converge to turn data into decisions and accelerate breakthrough discovery. At GTC 2026, NVIDIA will showcase how open foundation models, agentic AI, and physical AI are creating entirely new categories ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81806/
CWES81843,The Developer’s Roadmap to Physical AI: Bridging Digital Models and Real-World Systems,Connect with the Experts,"Monday, March 16",3:00 p.m. - 3:50 p.m. PDT,Connect With the Experts Pod A (L2),,,"The era of generative AI has mastered digital content, but the next frontier lies in the physical world. For developers comfortable with LLMs and retrieval-augmented generation (RAG), the leap into physical AI—robotics, autonomous systems, and edge computing—can feel like starting from zero. This...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes81843/
S81847,A Playbook – Operating Cloud AI Factories at Scale,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,SJCC LL21E (LL),,,"Discover how to build and operate AI factories that scale with your ambitions. In this session, NVIDIA shares hard-earned lessons from working alongside Cloud Partners and ecosystem ISVs to power massive AI infrastructure around the world. You’ll gain a practical framework—built on open, composab...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81847/
S81859,CUDA: New Features and Beyond,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,Montgomery Theater,,,"The CUDA platform is the foundation of the GPU computing ecosystem. Every application and framework that uses the GPU does so through CUDA's libraries, compilers, runtimes and language—which means CUDA is growing as fast as its ecosystem is evolving. Presented by one of the architects of CUDA, at...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81859/
S82017,Accelerating Industrial Engineering: From Product Design to Manufacturing in the AI Supercomputing Era,Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,Marriott - Ballroom Salon I-II (L2),,,"Accelerated computing and AI supercomputing are redefining industrial engineering, spanning computational engineering (CAE) to semiconductor design and manufacturing. Together, these fields drive how the world conceives, simulates, and builds everything from advanced machinery to next-generation ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82017/
EX82054,Leverage the Power of Thor in Industrial Applications (Presented by Advantech),Sponsored Expo Theater,"Monday, March 16",3:00 p.m. - 3:15 p.m. PDT,SJCC Hall 1 Theater (L2),,,"As physical AI becomes more prevalent in industrial applications, performance, longevity, and reliability are critical. Enter NVIDIA Jetson Thor solutions from Advantech. In this session, Advantech will provide an overview of both NVIDIA IGX and Jetson Thor, discuss use cases in a variety of indu...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-ex82054/
S82057,Industrial Takeoff: Reinventing Operations with Physical AI at Scale (Presented by Accenture),Sponsored Talk,"Monday, March 16",3:00 p.m. - 3:40 p.m. PDT,Hilton Winchester (L1),,,"Industrial operations are entering a decisive new phase. As manufacturers face rising pressures on resilience, sustainability, productivity, and geopolitical exposure, emerging technologies—Physical AI, Robotics, and next generation digital twins—are converging to redefine how factories and suppl...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82057/
